Fecha,Producto,Volumen_Hoy,Volumen_7Dias,Precio_Ayer,Precio_7Dias,Precio_Hoy_Kg
2026-01-30,AGUAJE,11,7,21.50,23.50,2.20
2026-01-30,AGUAYMANTO,5,3,3.60,3.67,3.65
2026-01-30,ALBARICOQUE,4,5,4.85,4.77,4.88
2026-01-30,ARÁNDANO,6,11,9.75,9.57,9.75
2026-01-30,CAIMITO (SELVA),5,6,71.50,72.36,7.08
2026-01-30,CAMU CAMU,2,2,8.00,7.02,8.25
2026-01-30,CARAMBOLA,14,7,21.50,22.79,2.15
2026-01-30,CHIRIMOYA CRIOLLA O HUAYCO,13,5,4.20,4.29,4.20
2026-01-30,CHIRIMOYA CUMBE,12,13,4.78,4.85,4.73
2026-01-30,CIRUELA NECTARINA (IMPORTADA),7,7,97.50,97.93,9.82
2026-01-30,CIRUELA ROJA/CRIOLLA,17,12,29.50,28.64,2.03
2026-01-30,CIRUELA SANTA ROSA/NACIONAL,5,5,58.50,56.32,5.68
2026-01-30,COCO,10,10,3.20,3.18,2.13
2026-01-30,COCONA,20,14,21.50,22.07,1.43
2026-01-30,DATIL MELADO,8,7,14.25,13.71,14.25
2026-01-30,FRAMBUESA,4,4,27.25,28.21,26.00
2026-01-30,FRESA SABRINA,23,31,3.35,3.25,3.43
2026-01-30,FRESA SAN ANDREAS,32,51,3.98,3.82,3.95
2026-01-30,GRANADA,28,21,102.00,109.11,6.16
2026-01-30,GRANADILLA (COSTA),4,6,23.75,23.50,2.97
2026-01-30,GRANADILLA (SELVA),38,38,42.25,41.64,3.35
2026-01-30,GUANABANA (COSTA),12,8,7.15,7.36,7.08
2026-01-30,GUANABANA (SELVA),7,7,7.08,7.11,6.93
2026-01-30,HIGO MADURO,5,8,34.50,34.64,4.86
2026-01-30,KIWI IMPORTADO,6,7,216.50,215.04,14.47
2026-01-30,LIMA DULCE,4,6,4.15,3.85,4.00
2026-01-30,LIMON DULCE - SELVA,8,8,48.50,48.39,2.42
2026-01-30,LUCUMA BELTRAN,6,7,6.15,6.33,6.10
2026-01-30,LUCUMA DE SEDA,4,6,4.93,5.12,4.75
2026-01-30,MAMEY,8,8,4.85,4.82,4.65
2026-01-30,MANDARINA SATSUMA,74,57,2.80,2.98,2.70
2026-01-30,MANDARINA TANGERINA,13,11,18.50,18.36,1.17
2026-01-30,MANGO CRIOLLO,28,25,2.35,2.62,2.35
2026-01-30,MANGO EDWARD,46,21,2.95,2.94,2.95
2026-01-30,MANGO HADEN/HAYDE,20,29,2.35,2.38,2.35
2026-01-30,MANGO KAFRO,28,14,2.28,2.41,2.28
2026-01-30,MANGO KENT,82,46,2.15,2.31,2.15
2026-01-30,MANGO ROSADO,9,0,2.13,2.25,2.08
2026-01-30,MANZANA CTE/PARA AGUA,48,42,36.25,36.64,1.48
2026-01-30,MANZANA DELICIA,88,85,60.00,61.11,2.50
2026-01-30,MANZANA GOLDEN,25,11,3.15,3.17,3.18
2026-01-30,MANZANA IMPORTADA,10,11,156.50,157.11,7.88
2026-01-30,MANZANA ISRAEL,55,33,2.15,2.30,2.15
2026-01-30,MANZANA WINTER,9,14,66.50,67.14,2.77
2026-01-30,MARACUYA,25,17,3.55,3.70,3.45
2026-01-30,MELOCOTON BLANQUILLO,18,27,56.50,57.39,4.71
2026-01-30,MELOCOTON DURAZNO HUAYCO,22,44,64.75,65.07,5.46
2026-01-30,MELON COQUITO,30,38,13.25,13.39,1.10
2026-01-30,MELON MENTA,7,9,18.00,18.61,1.52
2026-01-30,MEMBRILLO CRIOLLO,11,10,3.35,3.45,3.35
2026-01-30,MEMBRILLO SERRANO,6,10,76.25,76.93,3.15
2026-01-30,NARANJA PRIMAVERA,11,9,2.33,2.39,2.38
2026-01-30,NARANJA TANGELO SELVA,59,43,63.75,64.61,2.93
2026-01-30,NARANJA VALENCIA,155,127,35.75,35.46,1.52
2026-01-30,NARANJA WASHINGTON NAVAL,11,14,4.63,4.82,4.65
2026-01-30,NONI,12,6,2.85,2.87,2.85
2026-01-30,PACAE DE SEDA,6,6,6.48,6.65,6.43
2026-01-30,PALTA ANTILLANA,7,7,32.50,32.29,2.71
2026-01-30,PALTA CHOQUETE,7,8,31.50,31.39,2.62
2026-01-30,PALTA COLLIN RED,6,7,31.50,31.25,2.65
2026-01-30,PALTA CRIOLLA,8,12,20.50,19.36,1.71
2026-01-30,PALTA FUERTE,46,38,4.68,4.92,4.80
2026-01-30,PALTA HALL,15,11,18.00,17.89,1.48
2026-01-30,PALTA HASS,25,15,3.95,4.13,3.95
2026-01-30,PALTA LINDA,8,0,36.50,35.46,3.04
2026-01-30,PAPAYA,186,166,25.75,27.21,2.19
2026-01-30,PEPINO RAYADO O MELON,9,16,3.95,3.80,3.95
2026-01-30,PERA AGUA CRIOLLA,13,0,48.25,49.57,3.88
2026-01-30,PERA AGUA ITALIANA,11,7,40.00,41.46,3.46
2026-01-30,PERA AGUA PACKAM IMPORTADO,11,11,143.50,140.79,7.21
2026-01-30,PIÑA CRIOLLA,49,39,15.25,15.82,1.23
