Fecha,Producto,Volumen_Hoy,Volumen_7Dias,Precio_Ayer,Precio_7Dias,Precio_Hoy_Kg
2026-01-03,AGUAJE,8,6,24.25,23.46,25.5
2026-01-03,AGUAYMANTO,2,4,3.85,3.78,3.85
2026-01-03,ALBARICOQUE,4,6,4.43,4.39,4.2
2026-01-03,ARÁNDANO,5,12,9.5,9.5,9.75
2026-01-03,CAIMITO (SELVA),4,6,79.5,80.75,78.75
2026-01-03,CAMU CAMU,3,2,5.23,5.07,5.35
2026-01-03,CARAMBOLA,3,10,25.25,25.0,25.75
2026-01-03,CHIRIMOYA CRIOLLA O HUAYCO,4,7,4.68,4.68,4.73
2026-01-03,CHIRIMOYA CUMBE,6,14,4.95,4.94,4.93
2026-01-03,CIRUELA NECTARINA (IMPORTADA),5,9,96.5,95.89,96.5
2026-01-03,CIRUELA ROJA/CRIOLLA,3,11,33.25,32.75,32.5
2026-01-03,CIRUELA SANTA ROSA/NACIONAL,4,7,63.5,64.5,63.75
2026-01-03,COCO,4,8,3.15,3.15,3.15
2026-01-03,COCONA,5,17,21.5,21.46,21.25
2026-01-03,DATIL MELADO,6,6,13.25,13.32,13.5
2026-01-03,FRAMBUESA,1,3,41.25,41.18,41.5
2026-01-03,FRESA SABRINA,9,25,3.43,3.37,3.35
2026-01-03,FRESA SAN ANDREAS,24,46,3.68,3.63,3.55
2026-01-03,GRANADA,3,5,125.75,126.46,124.5
2026-01-03,GRANADILLA (COSTA),4,6,22.25,21.79,21.5
2026-01-03,GRANADILLA (SELVA),18,46,36.5,36.82,36.5
2026-01-03,GUANABANA (COSTA),3,6,7.53,7.42,7.58
2026-01-03,GUANABANA (SELVA),5,9,7.43,7.37,7.38
2026-01-03,HIGO MADURO,5,13,37.25,36.61,36.5
2026-01-03,KIWI IMPORTADO,5,9,212.25,212.79,214.25
2026-01-03,LIMA DULCE,3,12,3.93,3.89,3.93
2026-01-03,LIMON DULCE - SELVA,6,11,46.25,45.71,46.75
2026-01-03,LUCUMA BELTRAN,5,7,7.23,7.37,7.15
2026-01-03,LUCUMA DE SEDA,4,6,5.85,5.99,5.75
2026-01-03,MAMEY,6,9,4.85,4.88,4.93
2026-01-03,MANDARINA MALVACEA,10,22,2.85,2.85,2.85
2026-01-03,MANDARINA SATSUMA,15,34,3.83,3.85,3.83
2026-01-03,MANDARINA TANGERINA,6,9,19.25,19.14,18.5
2026-01-03,MANGO CRIOLLO,7,12,3.43,3.37,3.35
2026-01-03,MANGO EDWARD,10,32,1.83,1.68,1.95
2026-01-03,MANGO HADEN /HAYDE,8,25,1.85,1.74,1.85
2026-01-03,MANGO KAFRO,8,22,2.33,2.18,2.28
2026-01-03,MANGO KENT,16,43,2.53,2.45,2.48
2026-01-03,MANGO PICO DE LORO,8,20,1.93,1.77,1.88
2026-01-03,MANZANA CTE/PARA AGUA,19,27,38.75,38.46,38.5
2026-01-03,MANZANA DELICIA,41,79,66.25,66.89,65.5
2026-01-03,MANZANA GOLDEN,7,23,3.23,3.19,3.15
2026-01-03,MANZANA IMPORTADA,8,13,157.5,157.43,157.5
2026-01-03,MANZANA ISRAEL,14,37,2.15,2.11,2.15
2026-01-03,MANZANA WINTER,7,18,63.5,63.61,63.5
2026-01-03,MARACUYA,5,13,5.73,5.79,5.2
2026-01-03,MELOCOTON BLANQUILLO,10,44,59.25,58.82,58.5
2026-01-03,MELOCOTON DURAZNO HUAYCO,7,48,67.75,68.0,68.5
2026-01-03,MELON COQUITO,10,24,13.5,13.89,13.25
2026-01-03,MELON MENTA,6,9,20.25,20.75,20.0
2026-01-03,MEMBRILLO CRIOLLO,7,9,3.23,3.18,3.15
2026-01-03,MEMBRILLO SERRANO,8,12,76.5,76.18,76.5
2026-01-03,NARANJA PRIMAVERA,6,24,2.43,2.4,2.35
2026-01-03,NARANJA TANGELO SELVA,20,56,56.5,55.46,56.75
2026-01-03,NARANJA VALENCIA,37,149,27.0,25.54,28.25
2026-01-03,NARANJA WASHINGTON NAVAL,10,21,5.05,4.92,5.05
2026-01-03,NONI,6,8,2.65,2.79,2.68
2026-01-03,PACAE DE SEDA,4,7,6.85,6.8,6.85
2026-01-03,PALTA ANTILLANA,4,17,32.25,31.89,31.5
2026-01-03,PALTA CHOQUETE,5,8,29.5,29.32,29.5
2026-01-03,PALTA CRIOLLA,6,9,18.25,17.89,18.5
2026-01-03,PALTA FUERTE,20,32,5.13,5.2,5.13
2026-01-03,PALTA HALL,5,10,18.25,17.79,18.5
2026-01-03,PALTA HASS,8,15,4.43,4.42,4.38
2026-01-03,PALTA LINDA,5,8,34.25,33.75,33.5
2026-01-03,PALTA NAVAL,5,6,8.23,8.22,8.25
2026-01-03,PAPAYA,72,183,24.75,24.43,24.75
2026-01-03,PEPINO RAYADO O MELON,9,26,3.5,3.56,3.43
2026-01-03,PERA AGUA ITALIANA,7,9,46.25,46.5,46.5
2026-01-03,PERA AGUA PACKAM IMPORTADO,8,14,132.25,132.04,131.25
2026-01-03,PITAHAYA,6,10,5.5,5.75,4.5
2026-01-03,PIÑA CRIOLLA,14,48,18.25,17.61,18.5
2026-01-03,PIÑA GOLDEN,36,71,26.25,25.29,26.5
2026-01-03,PIÑA HAWAIANA,26,48,2.28,2.18,2.38
2026-01-03,PLATANO BELLACO,14,62,78.5,78.57,78.5
2026-01-03,PLATANO BIZCOCHO,22,76,21.75,21.57,22.25
2026-01-03,PLATANO ISLA,25,61,56.75,56.46,56.5
2026-01-03,PLATANO MANZANO,10,34,25.5,25.14,25.75
2026-01-03,PLATANO MORADO,5,6,36.5,36.43,36.75
2026-01-03,PLATANO PALILLO,18,70,81.5,81.43,81.5
2026-01-03,PLATANO SEDA (SELVA),13,19,51.5,51.46,51.5
2026-01-03,PLATANO SEDA CONGO,40,65,55.25,55.64,54.5
