Fecha,Producto,Volumen_Hoy,Volumen_7Dias,Precio_Ayer,Precio_7Dias,Precio_Hoy_Kg
2026-01-05,AGUAJE,10,9,25.50,25.75,2.43
2026-01-05,AGUAYMANTO,2,3,3.85,3.85,3.78
2026-01-05,ALBARICOQUE,10,5,4.23,4.20,4.34
2026-01-05,ARÁNDANO,14,9,9.75,10.50,9.57
2026-01-05,CAIMITO (SELVA),9,6,79.25,78.50,7.99
2026-01-05,CAMU CAMU,1,0,5.35,5.20,5.35
2026-01-05,CARAMBOLA,14,10,26.25,25.75,2.51
2026-01-05,CHIRIMOYA CRIOLLA O HUAYCO,9,6,4.73,4.65,4.70
2026-01-05,CHIRIMOYA CUMBE,15,14,4.93,4.85,4.96
2026-01-05,CIRUELA NECTARINA (IMPORTADA),8,8,96.50,95.75,9.61
2026-01-05,CIRUELA ROJA/CRIOLLA,13,9,32.25,32.00,2.17
2026-01-05,CIRUELA SANTA ROSA/NACIONAL,5,7,64.25,62.50,6.41
2026-01-05,COCO,7,10,3.18,3.18,2.10
2026-01-05,COCONA,19,16,21.25,21.25,1.43
2026-01-05,DATIL MELADO,5,6,13.50,13.75,13.36
2026-01-05,FRAMBUESA,4,2,41.50,41.25,41.32
2026-01-05,FRESA SABRINA,20,26,3.35,3.20,3.38
2026-01-05,FRESA SAN ANDREAS,65,42,3.55,3.45,3.63
2026-01-05,GRANADA,8,0,124.50,122.50,7.85
2026-01-05,GRANADILLA (COSTA),6,5,21.50,21.75,2.71
2026-01-05,GRANADILLA (SELVA),48,38,36.50,36.75,2.81
2026-01-05,GUANABANA (COSTA),8,8,7.63,7.65,7.49
2026-01-05,GUANABANA (SELVA),11,7,7.43,7.38,7.43
2026-01-05,HIGO MADURO,9,9,36.50,35.75,5.23
2026-01-05,KIWI IMPORTADO,8,8,214.25,212.50,14.22
2026-01-05,LIMA DULCE,8,5,3.93,3.89,3.85
2026-01-05,LIMON DULCE - SELVA,9,9,47.25,46.50,2.31
2026-01-05,LUCUMA BELTRAN,5,7,7.15,7.15,7.29
2026-01-05,LUCUMA DE SEDA,4,6,5.73,5.85,5.88
2026-01-05,MAMEY,15,9,4.93,4.88,4.85
2026-01-05,MANDARINA MALVACEA,16,17,2.85,2.85,2.85
2026-01-05,MANDARINA SATSUMA,34,28,3.83,3.75,3.83
2026-01-05,MANDARINA TANGERINA,9,10,18.50,17.75,1.19
2026-01-05,MANGO CRIOLLO,11,0,3.35,3.20,3.37
